emoticon,cnt
_crossed_fingers_medium_skin_tone_,5
_SOON_arrow_,5
_hammer_and_wrench_,5
_person_getting_massage_light_skin_tone_,5
_skis_,5
_man_gesturing_NO_light_skin_tone_,5
_Azerbaijan_,5
_custard_,5
_person_facepalming_medium-light_skin_tone_,5
_castle_,5
_hot_springs_,5
_satellite_,5
_houses_,5
_peanuts_,5
_call_me_hand_medium-dark_skin_tone_,5
_person_,5
_tennis_,5
_men_holding_hands_,5
_oncoming_fist_medium-dark_skin_tone_,5
_woman_dancing_medium-dark_skin_tone_,5
_pie_,5
_club_suit_,5
_woman_dark_skin_tone_,5
_mermaid_light_skin_tone_,5
_clutch_bag_,5
_man_scientist_medium-light_skin_tone_,5
_light_skin_tone_,5
_man_running_light_skin_tone_,5
_woman_mage_light_skin_tone_,5
_family_woman_boy_,5
_Japanese_dolls_,5
_Italy_,5
_sun_behind_cloud_,5
_open_mailbox_with_raised_flag_,5
_bread_,5
_zombie_,5
_pick_,5
_woman_dancing_dark_skin_tone_,5
_kiss_woman_woman_,5
_parrot_,5
_dim_button_,5
_goggles_,5
_spade_suit_,5
_running_shirt_,5
_person_surfing_,5
_bus_,5
_woman_cook_,5
_railway_track_,5
_dolphin_,5
_man_police_officer_light_skin_tone_,5
_cow_,5
_puzzle_piece_,5
_drop_of_blood_,5
_person_walking_light_skin_tone_,5
_TOP_arrow_,5
_printer_,5
_sign_of_the_horns_medium_skin_tone_,4
_sign_of_the_horns_medium-dark_skin_tone_,4
_credit_card_,4
_counterclockwise_arrows_button_,4
_page_facing_up_,4
_shinto_shrine_,4
_giraffe_,4
_fuel_pump_,4
_steaming_bowl_,4
_cityscape_at_dusk_,4
_crossed_fingers_medium-light_skin_tone_,4
_biohazard_,4
_ferris_wheel_,4
_bubble_tea_,4
_down-right_arrow_,4
_broom_,4
_dvd_,4
_person_with_veil_medium-light_skin_tone_,4
_pig_,4
_prince_light_skin_tone_,4
_pretzel_,4
_stuffed_flatbread_,4
_spouting_whale_,4
_pound_banknote_,4
_straight_ruler_,4
_post_office_,4
_billed_cap_,4
_person_running_light_skin_tone_,4
_diamond_suit_,4
_person_golfing_,4
_person_gesturing_NO_light_skin_tone_,4
_roasted_sweet_potato_,4
_person_gesturing_NO_medium-light_skin_tone_,4
_right_arrow_curving_left_,4
_person_getting_massage_medium-light_skin_tone_,4
_curry_rice_,4
_repeat_button_,4
_detective_medium-light_skin_tone_,4
_carousel_horse_,4
_red_triangle_pointed_up_,4
_tiger_,4
_ballot_box_with_ballot_,4
_razor_,4
_first_quarter_moon_,4
_ox_,4
_palms_up_together_medium_skin_tone_,4
_woman_singer_light_skin_tone_,4
_octopus_,4
_woman_gesturing_OK_medium-light_skin_tone_,4
_incoming_envelope_,4
_man_tipping_hand_medium-light_skin_tone_,4
_man_tipping_hand_,4
_woman_health_worker_light_skin_tone_,4
_ice_,4
_man_teacher_,4
_woman_in_lotus_position_light_skin_tone_,4
_man_swimming_,4
_woman_in_lotus_position_medium-light_skin_tone_,4
_Belgium_,4
_man_facepalming_dark_skin_tone_,4
_no_littering_,4
_woman_in_steamy_room_medium-light_skin_tone_,4
_woman_juggling_,4
_no_smoking_,4
_man_health_worker_light_skin_tone_,4
_man_scientist_,4
_yellow_circle_,4
_magic_wand_,4
_woman_technologist_medium-light_skin_tone_,4
_woman_frowning_light_skin_tone_,4
_woman_tipping_hand_medium_skin_tone_,4
_man_genie_,4
_minus_,4
_woman_construction_worker_,4
_man_gesturing_OK_,4
_woman_cook_light_skin_tone_,4
_woman_bowing_medium-light_skin_tone_,4
